Antraštė,Kategorija,Nuoroda
Nausėda perspėja dėl taikos derybų rizikos: Rusijai reikia tik vieno,Lietuvoje,/news/daily/lithuania/nauseda-perspeja-del-taikos-derybu-rizikos-rusijai-reikia-tik-vieno-95747357
Didžiausi atlyginimai Lietuvoje – vienoje įmonėje praėjusį mėnesį pašoko iki 114 tūkst. eurų,Verslas,https://www.delfi.lt/verslas/mano-eurai/didziausi-atlyginimai-lietuvoje-vienoje-imoneje-praejusi-menesi-pasoko-iki-114-tukst-euru-95742771
Po teismo sprendimo Vilčinskams bus grąžinti jų vaikai,Lietuvoje,/news/daily/lithuania/po-teismo-sprendimo-vilcinskams-bus-grazinti-ju-vaikai-95748855
Nausėda abejoja valdančiųjų valia ieškant sprendimų dėl gynybos: matau norą nustumti šitą klausimą,Lietuvoje,/news/daily/lithuania/nauseda-abejoja-valdanciuju-valia-ieskant-sprendimu-del-gynybos-matau-nora-nustumti-sita-klausima-95749387
Po konflikto su Šeškumi iš Jonavos išvyksta dar vienas legionierius,Krepšinis,https://www.delfi.lt/krepsinis/lkl/po-konflikto-su-seskumi-is-jonavos-isvyksta-dar-vienas-legionierius-95748397
"Grynaisiais atsiskaityti galima ne už viską – apribojus sumą sulaukta gudravimų, skirta baudų",Verslas,https://www.delfi.lt/verslas/mano-eurai/grynaisiais-atsiskaityti-galima-ne-uz-viska-apribojus-suma-sulaukta-gudravimu-skirta-baudu-95700739
"Ukrainoje paskleisti gandai apie Zalužną, skelbiama apie Zelenskio „pasiūlymą“",Užsienyje,/news/daily/world/ukrainoje-paskleisti-gandai-apie-zaluzna-skelbiama-apie-zelenskio-pasiulyma-95747109
Už 7 mlrd. šviesmečių nuo Žemės aptiktas vienas didžiausių iki šiol tyrinėtų kosminių darinių Visatoje,Mokslas,https://www.delfi.lt/mokslas/mokslas/uz-7-mlrd-sviesmeciu-nuo-zemes-aptiktas-vienas-didziausiu-iki-siol-tyrinetu-kosminiu-dariniu-visatoje-95745997
Žiniasklaida: Pakso žentui Stumbrui gresia nemalonumai dėl pavojingų ryšių,Lietuvoje,/news/daily/lithuania/ziniasklaida-pakso-zentui-stumbrui-gresia-nemalonumai-del-pavojingu-rysiu-95746857
"SEB bankas suteikė 1,2 mln. eurų žaliąją paskolą bendrovės „Sirin Development“ saulės elektrinių plėtrai finansuoti",Tvari Lietuva (Verslas praneša),https://www.delfi.lt/uzsakomasis-turinys/verslas-pranesa/seb-bankas-suteike-1-2-mln-euru-zaliaja-paskola-bendroves-sirin-development-saules-elektriniu-pletrai-finansuoti-95737315
"Bitkoino ir kripto savaitė: 580 mln. vartotojų, arši konkurencija ir dirbtinio intelekto vaidmuo",Verslas,https://www.delfi.lt/verslas/rinka/bitkoino-ir-kripto-savaite-580-mln-vartotoju-arsi-konkurencija-ir-dirbtinio-intelekto-vaidmuo-95742753
"Muskas praneša, kad jo startuolis „Neuralink“ pirmajam pacientui įdėjo smegenų implantą",Login,https://www.delfi.lt/login/technologijos/naujienos/muskas-pranesa-kad-jo-startuolis-neuralink-pirmajam-pacientui-idejo-smegenu-implanta-95748649
