Modelis,Mėnesio kaina,Kaina
Apple iPhone 15,"34,13 €/mėn.",819 €
Apple iPhone 15 Plus,"40,38 €/mėn.",969 €
Apple iPhone 15 Pro,"44,55 €/mėn.",1 069 €
Apple iPhone 15 Pro Max,"54,96 €/mėn.",1 319 €
Apple iPhone 14,"29,96 €/mėn.",719 €
Apple iPhone 13,"24,96 €/mėn.",599 €
Apple iPhone 14 Plus,"38,71 €/mėn.",929 €
Apple iPhone 14 Pro,"46,63 €/mėn.",1 119 €
Apple iPhone 14 Pro Max,"52,05 €/mėn.",1 249 €
Apple iPhone 13 mini,"32,05 €/mėn.",769 €
Apple iPhone 12,"19,55 €/mėn.",469 €
Apple iPhone 11,"20,80 €/mėn.",499 €
Apple iPhone SE (2022),"22,88 €/mėn.",549 €
